extraction_strategy,k_variables,n_cells,mean_weighted_edge_preservation,mean_depth_reduction,mean_twoq_reduction,mean_swap_reduction,mean_normalized_quality_gap
high_degree_nodes,8,3,0.2065829483069613,49.87687731478312,83.2593232612025,95.21975699841474,0.5137982313746857
high_degree_nodes,12,3,0.3551216704429076,39.055612566525866,69.7735652662012,85.07829056339631,0.3756577863313879
high_degree_nodes,16,3,0.5193141811734047,28.94931039751401,53.10873041755798,67.74496465653856,0.27630128092659273
random_nodes,8,3,0.12796435276567644,53.3133466579017,89.88921373547934,98.07993726876592,0.5084790119123991
random_nodes,12,3,0.1648662235010082,46.70589853771535,86.52700001300461,92.72630213696954,0.3075048154774611
random_nodes,16,3,0.35033613457974727,34.82336035559661,68.52242652403676,77.97265112007386,0.19531829843508386
top_weight_edges,8,3,0.19338056845306215,53.9508598748219,85.37047831577011,97.4867560029567,0.5373527936080519
top_weight_edges,12,3,0.3279515831293949,47.08040842040009,74.2298277277652,90.9797970550213,0.3815649622823687
top_weight_edges,16,3,0.47462895043409564,37.85618355147951,60.73029863130106,79.56682092080246,0.2641284043460252
weighted_degree_nodes,8,3,0.2125632792143917,50.25891263747915,83.34310237101707,95.25141073729306,0.5087491808461713
weighted_degree_nodes,12,3,0.361799440280705,39.40078600375293,70.05415147537659,85.31823547331092,0.36882623823180055
weighted_degree_nodes,16,3,0.5266563487181456,29.306046274027597,53.609273775158066,68.38552087224551,0.26913332215314156
